,year_month,total_btc_favor_count,perc_btc_favor_tweets,total_btc_favor_likes,total_btc_favor_retweets,avg_btc_sentiment_scores,var_btc_sentiment_scores,total_btc_favor_scores,avg_btc_favor_likes,avg_btc_favor_retweets,avg_btc_favor_scores,log_avg_btc_favor_likes,log_avg_btc_favor_retweets,log_avg_btc_favor_scores,year,month,cpi,month_ind,cpi_month_diff,cpi_year_diff,cpi_MoM,cpi_YoY,perc_btc_favor_tweets_diff,perc_btc_favor_tweets_MoM,avg_btc_favor_likes_diff,avg_btc_favor_retweets_diff,total_wallet,avg_price,avg_trx,log_avg_price,log_avg_trx,new_wallet,avg_price_month_diff,avg_trx_month_diff,log_avg_price_month_diff
1,2012-2,2,0.013888888888888888,0,0,0.006571527777777778,0.012771353519327892,1.7626,0.0,0.0,0.8813,0.0,0.0,0.6319630272349478,2012,Feb,227.663,2,0.9980000000000189,,1.0044029735512763,,-0.1617867867867868,0.07905982905982906,0.0,-0.15384615384615385,1916.5,5.291,7379.666666666667,1.8391200405878927,1.8391200405878927,-69771.5,-8.217,-30592.233333333334,-0.8355801808327634
2,2012-3,14,0.050359712230215826,0,13,0.019590287769784175,0.007745356259122668,5.5147,0.0,0.9285714285714286,0.3939071428571429,0.0,0.6567795363890705,0.33211069810899574,2012,Mar,229.392,3,1.728999999999985,,1.007594558623931,,0.03647082334132694,3.6258992805755397,0.0,0.9285714285714286,3148.0,5.015,6738.2,1.7942563494266421,1.7942563494266421,1231.5,-0.2760000000000007,-641.4666666666672,-0.04486369116125055
3,2012-4,11,0.039568345323741004,1,2,0.017926978417266187,0.011772146598057297,5.5642000000000005,0.09090909090909091,0.18181818181818182,0.5058363636363636,0.08701137698962977,0.1670540846631662,0.4093484671902251,2012,Apr,230.085,4,0.693000000000012,,1.0030210295040805,,-0.010791366906474822,0.7857142857142857,0.09090909090909091,-0.7467532467532467,4511.0,5.047,7229.2,1.7995622812910759,1.7995622812910759,1363.0,0.03200000000000003,491.0,0.005305931864433733
4,2012-5,4,0.016666666666666666,5,7,0.0049904166666666664,0.007515513840829849,2.0704000000000002,1.25,1.75,0.5176000000000001,0.8109302162163288,1.0116009116784799,0.4171301396386674,2012,May,229.815,5,-0.27000000000001023,,0.9988265206336788,,-0.022901678657074338,0.42121212121212126,1.1590909090909092,1.5681818181818181,7174.0,5.108,20539.454545454544,1.809599387356386,1.809599387356386,2663.0,0.06099999999999994,13310.254545454543,0.010037106065310164
5,2012-6,13,0.18055555555555555,1,1,0.080125,0.06134250556338028,6.908,0.07692307692307693,0.07692307692307693,0.5313846153846155,0.07410797215372188,0.07410797215372188,0.4261723035347711,2012,Jun,229.478,6,-0.3369999999999891,,0.9985336031155495,,0.1638888888888889,10.833333333333336,-1.1730769230769231,-1.6730769230769231,10172.0,6.0089999999999995,29755.5,1.9471950375181877,1.9471950375181877,2998.0,0.9009999999999998,9216.045454545456,0.13759565016180164
6,2012-7,25,0.09652509652509653,0,2,0.043316988416988424,0.023901276221902978,12.0028,0.0,0.08,0.48011200000000004,0.0,0.07696104113612832,0.3921177605884399,2012,Jul,229.104,7,-0.3739999999999952,,0.9983702141381745,,-0.08403045903045903,0.5346005346005346,-0.07692307692307693,0.0030769230769230743,13024.0,8.032727272727273,27946.0,2.200854345386798,2.200854345386798,2852.0,2.0237272727272737,-1809.5,0.25365930786861024
7,2012-8,23,0.22115384615384615,1,3,0.09016730769230769,0.045394819309185964,10.6095,0.043478260869565216,0.13043478260869565,0.4612826086956522,0.04255961441879593,0.12260232209233235,0.37931454917236423,2012,Aug,230.379,8,1.2749999999999773,,1.005565158181437,,0.12462874962874962,2.291153846153846,0.043478260869565216,0.05043478260869565,18467.0,11.482,34624.5,2.524287606511851,2.524287606511851,5443.0,3.449272727272726,6678.5,0.3234332611250532
8,2012-9,5,0.03184713375796178,1,2,0.012005732484076433,0.011776886441286943,2.6848,0.2,0.4,0.53696,0.18232155679395462,0.33647223662121295,0.4298064394943225,2012,Sep,231.407,9,1.02800000000002,,1.0044622122676112,,-0.18930671239588437,0.14400443090556633,0.1565217391304348,0.26956521739130435,25464.0,11.655,31646.5,2.5380523939970874,2.5380523939970874,6997.0,0.17300000000000004,-2978.0,0.01376478748523624
9,2012-10,11,0.16923076923076924,0,4,0.08394923076923076,0.03639560410096154,5.4567,0.0,0.36363636363636365,0.4960636363636363,0.0,0.3101549283038395,0.4028374163238117,2012,Oct,231.317,10,-0.09000000000000341,,0.9996110748594468,,0.13655103066867774,5.17846153846154,0.0,0.36363636363636365,32425.0,12.053,30083.090909090908,2.569017992406653,2.569017992406653,31667.0,5.556000000000001,23544.81818181818,0.554515051885728
10,2012-11,12,0.16666666666666666,0,0,0.08322500000000001,0.04827353457746478,6.42,0.0,0.0,0.535,0.0,0.0,0.4285303810391605,2012,Nov,230.221,11,-1.0960000000000036,,0.995261913305118,,-0.0025641025641025827,0.9848484848484848,0.0,-0.36363636363636365,42576.5,11.59909090909091,30285.9,2.5336246612823405,2.5336246612823405,10151.5,-0.45390909090909126,202.80909090909336,-0.03539333112431242
11,2012-12,13,0.17567567567567569,0,2,0.07345405405405406,0.038934379777860045,6.0911,0.0,0.15384615384615385,0.46854615384615383,0.0,0.14310084364067333,0.38427290040756173,2012,Dec,229.601,12,-0.6200000000000045,,0.9973069355097928,,0.009009009009009028,1.0540540540540542,0.0,0.15384615384615385,71688.0,13.508000000000001,37971.9,2.674700221420656,2.674700221420656,29111.5,1.9089090909090913,7686.0,0.14107556013831557
