Timestamp,my-wallet-n-users
2011-11-28 23:00:00,2
2011-12-21 23:00:00,291
2012-01-13 23:00:00,758
2012-02-05 23:00:00,1551
2012-02-28 23:00:00,2282
2012-03-23 00:00:00,3148
2012-04-15 00:00:00,4511
2012-05-08 00:00:00,6309
2012-05-31 00:00:00,8039
2012-06-23 00:00:00,10172
2012-07-16 00:00:00,13024
2012-08-08 00:00:00,16320
2012-08-31 00:00:00,20614
2012-09-23 00:00:00,25464
2012-10-16 00:00:00,32425
2012-11-07 23:00:00,38724
2012-11-30 23:00:00,46429
2012-12-23 23:00:00,71688
2013-01-15 23:00:00,93134
2013-02-07 23:00:00,110457
2013-03-02 23:00:00,129904
2013-03-26 00:00:00,156702
2013-04-18 00:00:00,226475
2013-05-11 00:00:00,265186
2013-06-03 00:00:00,297719
2013-06-26 00:00:00,326553
2013-07-19 00:00:00,356243
2013-08-11 00:00:00,383949
2013-09-03 00:00:00,418399
2013-09-26 00:00:00,447429
2013-10-19 00:00:00,480756
2013-11-10 23:00:00,550257
2013-12-03 23:00:00,767382
2013-12-26 23:00:00,945649
2014-01-18 23:00:00,1081937
2014-02-10 23:00:00,1230466
2014-03-05 23:00:00,1350166
2014-03-29 00:00:00,1440281
2014-04-21 00:00:00,1526798
2014-05-14 00:00:00,1610679
2014-06-06 00:00:00,1696012
2014-06-29 00:00:00,1786685
2014-07-22 00:00:00,1887510
2014-08-14 00:00:00,2022619
2014-09-06 00:00:00,2145615
2014-09-29 00:00:00,2267085
2014-10-22 00:00:00,2381387
2014-11-13 23:00:00,2499028
2014-12-06 23:00:00,2613340
2014-12-29 23:00:00,2719717
2015-01-21 23:00:00,2825099
2015-02-13 23:00:00,2945869
2015-03-09 00:00:00,3074557
2015-04-01 00:00:00,3183329
2015-04-24 00:00:00,3299459
2015-05-17 00:00:00,3416442
2015-06-09 00:00:00,3540083
2015-07-02 00:00:00,3678446
2015-07-25 00:00:00,3859171
2015-08-17 00:00:00,4010440
2015-09-09 00:00:00,4208444
2015-10-02 00:00:00,4391799
2015-10-25 00:00:00,4627736
2015-11-16 23:00:00,4873149
2015-12-09 23:00:00,5163651
2016-01-01 23:00:00,5454997
2016-01-24 23:00:00,5811068
2016-02-16 23:00:00,6083614
2016-03-10 23:00:00,6364167
2016-04-03 00:00:00,6688655
2016-04-26 00:00:00,6968497
2016-05-19 00:00:00,7286044
2016-06-11 00:00:00,7579535
2016-07-04 00:00:00,7835149
2016-07-27 00:00:00,8091577
2016-08-19 00:00:00,8364568
2016-09-11 00:00:00,8664649
2016-10-04 00:00:00,9017643
2016-10-27 00:00:00,9435917
2016-11-18 23:00:00,9971346
2016-12-11 23:00:00,10584824
2017-01-03 23:00:00,11064485
2017-01-26 23:00:00,11591356
2017-02-18 23:00:00,12096833
2017-03-14 00:00:00,12581602
2017-04-06 00:00:00,12995484
2017-04-29 00:00:00,13386157
2017-05-22 00:00:00,13911418
2017-06-14 00:00:00,14559986
2017-06-24 15:05:59,14807709
2017-07-02 02:02:27,14992878
2017-07-08 05:24:25,15145156
2017-08-02 05:12:24,15697467
2017-08-08 22:12:44,15848250
2017-08-15 15:13:42,16017874
2017-08-22 02:55:38,16208628
2017-08-27 17:34:11,16362216
2017-09-03 02:41:32,16553515
2017-09-09 14:47:56,16746608
2017-09-14 13:09:22,16870043
2017-09-25 14:13:21,17134865
2017-09-30 04:18:54,17240284
2017-10-05 21:28:31,17369309
2017-10-11 09:51:24,17497046
2017-10-17 20:36:23,17705898
2017-10-24 10:12:58,17939646
2017-10-30 07:53:50,18120353
2017-11-05 17:20:35,18405132
2017-11-12 01:04:07,18639620
2017-11-18 00:12:10,18843366
2017-11-24 00:52:15,19057175
2017-11-30 10:36:22,19401662
2017-12-06 05:17:57,19763633
2017-12-11 22:34:59,20287315
2017-12-18 09:03:55,20779459
2017-12-24 17:00:52,21204476
2017-12-31 07:11:52,21484732
2018-01-07 00:11:41,21789499
2018-01-12 21:06:55,22069779
2018-01-19 14:06:28,22336849
2018-01-25 02:10:17,22518982
2018-01-31 19:08:40,22718257
2018-02-07 12:08:31,22890499
2018-02-14 05:09:21,23041065
2018-02-20 10:15:30,23183003
2018-02-27 03:15:17,23329572
2018-03-05 20:16:24,23473433
2018-03-12 14:16:18,23598773
2018-03-19 07:16:47,23726494
2018-03-25 18:13:21,23840698
2018-04-01 05:40:38,23956777
2018-04-07 20:57:45,24066521
2018-04-14 02:06:19,24166869
2018-04-20 19:06:47,24279770
2018-04-30 14:26:19,24457182
2018-05-07 20:40:35,24617482
2018-05-14 13:39:46,24732020
2018-05-21 06:39:42,24844348
2018-05-27 17:47:47,24957767
2018-06-03 10:47:50,25088296
2018-06-10 03:48:32,25223119
2018-06-16 20:48:46,25344204
2018-06-23 08:16:24,25492862
2018-06-29 09:21:26,25716118
2018-07-06 02:21:23,25966486
2018-07-12 15:37:24,26191801
2018-07-19 08:37:22,26384228
2018-07-25 22:48:48,26721558
2018-08-01 13:54:31,27014014
2018-08-08 06:54:32,27395102
2018-08-09 05:54:32,27435348
2018-08-10 04:54:32,27490882
2018-08-11 03:54:32,27550271
2018-08-12 02:54:32,27599581
2018-08-13 01:54:32,27628301
2018-08-14 00:54:32,27668860
2018-08-14 23:54:32,27689208
2018-08-15 22:54:32,27723977
2018-08-16 21:54:32,27754651
2018-08-17 20:54:32,27786902
2018-08-18 19:54:32,27807578
2018-08-19 18:54:32,27829011
2018-08-20 17:54:32,27858162
2018-08-21 16:54:32,27875010
2018-08-22 15:54:32,27896221
2018-08-23 14:54:32,27918218
2018-08-24 13:54:32,27931369
2018-08-25 12:54:32,27953017
2018-08-26 11:54:32,27972635
2018-08-27 10:54:32,27999816
2018-08-28 09:54:32,28016592
2018-08-29 08:54:32,28051278
2018-08-30 07:54:32,28069963
2018-08-31 06:54:32,28097295
2018-09-01 05:54:32,28118535
2018-09-02 04:54:32,28138959
2018-09-03 03:54:32,28169367
2018-09-04 02:54:32,28197122
2018-09-05 01:54:32,28221242
2018-09-06 00:54:32,28247479
2018-09-06 23:54:32,28269613
2018-09-07 22:54:32,28293974
2018-09-08 21:54:32,28316824
2018-09-09 20:54:32,28342459
2018-09-10 19:54:32,28362032
2018-09-11 18:54:32,28389175
2018-09-12 17:54:32,28414053
2018-09-13 16:54:32,28433724
2018-09-14 15:54:32,28453522
2018-09-15 14:54:32,28477128
2018-09-16 13:54:32,28501675
2018-09-17 12:54:32,28524387
2018-09-18 11:54:32,28551108
2018-09-19 10:54:32,28578862
2018-09-20 09:54:32,28610635
2018-09-21 08:54:32,28636779
2018-09-22 07:54:32,28667671
2018-09-23 06:54:32,28688022
2018-09-24 05:54:32,28705663
2018-09-25 04:54:32,28724040
2018-09-26 03:54:32,28757286
2018-09-27 02:54:32,28787814
2018-09-28 01:54:32,28815399
2018-09-29 00:54:32,28839193
2018-09-29 23:54:32,28869795
2018-09-30 22:54:32,28888424
